timestamp,packet_in_count,flow_table_usage,active_switches,cpu_utilization,memory_utilization,protocol_type,load_label,latency
2026-02-08 18:10:10.651588,1061.0,48.97288174645072,22,75.63145658484314,45.43547090562068,0,1,28.928319282077155
2026-02-08 18:10:15.651588,1089.0,55.14241447518706,43,73.08565634716399,40.84872008248241,1,1,31.71412826668175
2026-02-08 18:10:20.651588,1207.0,72.9520113654626,39,77.37800714106936,48.19613930195982,0,1,33.186694805723846
2026-02-08 18:10:25.651588,1070.0,53.97380920274766,26,69.5792630949645,44.880824303732474,0,1,28.099722490611022
2026-02-08 18:10:30.651588,1108.0,52.663504668595394,16,75.90949070354766,43.565518679158835,1,1,31.345413309408862
2026-02-08 18:10:35.651588,1001.0,47.023054811429056,46,62.413220117305826,41.416596587285795,1,1,25.96027318032881
2026-02-08 18:10:40.651588,1046.0,56.28254323376978,40,62.95380030524869,44.63776349676665,0,2,147.36005810545078
2026-02-08 18:10:45.651588,1001.0,53.435700911971466,30,67.875843876252,40.342911373406054,0,2,164.3657405499694
2026-02-08 18:10:50.651588,1153.0,55.837890449961954,17,86.75110667455752,50.97278711105296,0,1,35.66002701857563
2026-02-08 18:10:55.651588,1118.0,62.867636303150114,39,67.07957793076629,45.71105712758485,2,1,27.418809907396813
2026-02-08 18:11:00.651588,1080.0,47.86407341358067,40,66.47889000405246,41.21833067801582,0,1,28.038496252324613
2026-02-08 18:11:05.651588,1013.0,51.54464367796278,34,70.26744087912387,39.67371495711983,0,1,28.547753063431653
2026-02-08 18:11:10.651588,1090.0,48.450712053296485,40,76.78271491550969,44.74179628547753,1,2,146.2093857235912
2026-02-08 18:11:15.651588,1240.0,57.76286025923007,34,73.2944111382067,50.2994741990816,2,2,163.6546178508799
2026-02-08 18:11:20.651588,8122.5,100.0,37,99.9,95.0,0,2,182.6890212977857
2026-02-08 18:11:25.651588,2793.0,100.0,9,100.0,95.0,1,2,186.65789700287985
2026-02-08 18:11:30.651588,1119.0,59.76645292904607,12,80.37164471168676,44.208086480400176,0,1,31.579583297348755
2026-02-08 18:11:35.651588,1022.0,54.388612299250205,45,69.19113530632693,41.57742549364773,2,1,27.183045678588133
2026-02-08 18:11:40.651588,1168.0,61.47202301470786,19,79.63423197497309,42.42404626340486,0,1,33.85417600868199
2026-02-08 18:11:45.651588,1133.0,52.17306653776849,19,78.17959837943528,46.34377058136327,1,1,32.68236284100697
2026-02-08 18:11:50.651588,1029.0,60.879545100640314,39,62.175706467404645,42.92548875628817,0,2,109.72930145476107
2026-02-08 18:11:55.651588,1052.0,58.25768384654199,44,64.6117149214731,44.09207814387862,1,2,104.00822058464092
2026-02-08 18:12:00.651588,1231.0,61.33880527387357,23,83.93642649657735,49.97811021427804,2,2,178.57974681642722
2026-02-08 18:12:05.651588,3492.0,100.0,44,100.0,95.0,0,2,217.51053205117884
2026-02-08 18:12:10.651588,3003.0,100.0,12,100.0,95.0,0,2,164.52246604648832
2026-02-08 18:12:15.651588,1105.0,53.48526926914153,21,73.15687949630382,44.70975659132617,0,2,106.19369079833108
2026-02-08 18:12:20.651588,1070.0,54.839268370475516,26,80.48103059363125,45.625754860183605,1,2,169.38402588221723
2026-02-08 18:12:25.651588,1113.0,55.8909356835063,5,81.76841927454201,44.08475478716624,1,1,32.95762309428458
2026-02-08 18:12:30.651588,1080.0,65.3886392775193,49,77.16042765067182,44.004834325236935,2,1,27.88107507329967
2026-02-08 18:12:35.651588,1114.0,60.09854852600445,42,69.66388872987935,44.87172232695467,0,1,30.162965718459812
2026-02-08 18:12:40.651588,1090.0,51.28611207358469,22,67.74944532316184,43.50805682273691,0,1,27.946781698523477
